2024-11-26 17:40:01 [background-preinit] INFO  : HV000001: Hibernate Validator 8.0.1.Final
2024-11-26 17:40:01 [restartedMain] INFO  : Starting SimplyflyApplication using Java 21.0.4 with PID 8414 (/Users/ishaan/Desktop/simplyfly-main/target/classes started by ishaan in /Users/ishaan/Desktop/simplyfly-main)
2024-11-26 17:40:01 [restartedMain] INFO  : No active profile set, falling back to 1 default profile: "default"
2024-11-26 17:40:01 [restartedMain] INFO  : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-11-26 17:40:01 [restartedMain] INFO  : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-11-26 17:40:02 [restartedMain] INFO  : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-11-26 17:40:02 [restartedMain] INFO  : Finished Spring Data repository scanning in 28 ms. Found 5 JPA repository interfaces.
2024-11-26 17:40:02 [restartedMain] INFO  : Tomcat initialized with port 8081 (http)
2024-11-26 17:40:02 [restartedMain] INFO  : Initializing ProtocolHandler ["http-nio-8081"]
2024-11-26 17:40:02 [restartedMain] INFO  : Starting service [Tomcat]
2024-11-26 17:40:02 [restartedMain] INFO  : Starting Servlet engine: [Apache Tomcat/10.1.31]
2024-11-26 17:40:02 [restartedMain] INFO  : Initializing Spring embedded WebApplicationContext
2024-11-26 17:40:02 [restartedMain] INFO  : Root WebApplicationContext: initialization completed in 665 ms
2024-11-26 17:40:02 [restartedMain] INFO  : HHH000204: Processing PersistenceUnitInfo [name: default]
2024-11-26 17:40:02 [restartedMain] INFO  : HHH000412: Hibernate ORM core version 6.5.3.Final
2024-11-26 17:40:02 [restartedMain] INFO  : HHH000026: Second-level cache disabled
2024-11-26 17:40:02 [restartedMain] INFO  : No LoadTimeWeaver setup: ignoring JPA class transformer
2024-11-26 17:40:02 [restartedMain] INFO  : HikariPool-1 - Starting...
2024-11-26 17:40:02 [restartedMain] INFO  : HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@75bdb686
2024-11-26 17:40:02 [restartedMain] INFO  : HikariPool-1 - Start completed.
2024-11-26 17:40:02 [restartedMain] WARN  : HHH90000025: MySQL8Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2024-11-26 17:40:02 [restartedMain] WARN  : HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
2024-11-26 17:40:03 [restartedMain] INFO  : HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-11-26 17:40:03 [restartedMain] INFO  : Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-11-26 17:40:03 [restartedMain] INFO  : Hibernate is in classpath; If applicable, HQL parser will be used.
2024-11-26 17:40:03 [restartedMain] INFO  : Global AuthenticationManager configured with UserDetailsService bean with name customUserDetailsService
2024-11-26 17:40:03 [restartedMain] WARN  : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-11-26 17:40:03 [restartedMain] INFO  : LiveReload server is running on port 35729
2024-11-26 17:40:03 [restartedMain] INFO  : Starting ProtocolHandler ["http-nio-8081"]
2024-11-26 17:40:03 [restartedMain] INFO  : Tomcat started on port 8081 (http) with context path '/'
2024-11-26 17:40:03 [restartedMain] INFO  : Started SimplyflyApplication in 2.256 seconds (process running for 2.641)
2024-11-26 17:42:26 [File Watcher] INFO  : Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification)
2024-11-26 17:42:26 [Thread-5] INFO  : Stopping ProtocolHandler ["http-nio-8081"]
2024-11-26 17:42:26 [Thread-5] INFO  : Closing JPA EntityManagerFactory for persistence unit 'default'
2024-11-26 17:42:26 [Thread-5] INFO  : HikariPool-1 - Shutdown initiated...
2024-11-26 17:42:26 [Thread-5] INFO  : HikariPool-1 - Shutdown completed.
2024-11-26 17:42:26 [restartedMain] INFO  : Starting SimplyflyApplication using Java 21.0.4 with PID 8414 (/Users/ishaan/Desktop/simplyfly-main/target/classes started by ishaan in /Users/ishaan/Desktop/simplyfly-main)
2024-11-26 17:42:26 [restartedMain] INFO  : No active profile set, falling back to 1 default profile: "default"
2024-11-26 17:42:26 [restartedMain] INFO  : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-11-26 17:42:26 [restartedMain] INFO  : Finished Spring Data repository scanning in 9 ms. Found 5 JPA repository interfaces.
2024-11-26 17:42:26 [restartedMain] INFO  : Tomcat initialized with port 8081 (http)
2024-11-26 17:42:26 [restartedMain] INFO  : Initializing ProtocolHandler ["http-nio-8081"]
2024-11-26 17:42:26 [restartedMain] INFO  : Starting service [Tomcat]
2024-11-26 17:42:26 [restartedMain] INFO  : Starting Servlet engine: [Apache Tomcat/10.1.31]
2024-11-26 17:42:26 [restartedMain] INFO  : Initializing Spring embedded WebApplicationContext
2024-11-26 17:42:26 [restartedMain] INFO  : Root WebApplicationContext: initialization completed in 146 ms
2024-11-26 17:42:27 [restartedMain] INFO  : HHH000204: Processing PersistenceUnitInfo [name: default]
2024-11-26 17:42:27 [restartedMain] INFO  : HHH000026: Second-level cache disabled
2024-11-26 17:42:27 [restartedMain] INFO  : No LoadTimeWeaver setup: ignoring JPA class transformer
2024-11-26 17:42:27 [restartedMain] INFO  : HikariPool-2 - Starting...
2024-11-26 17:42:27 [restartedMain] INFO  : HikariPool-2 - Added connection com.mysql.cj.jdbc.ConnectionImpl@3529a606
2024-11-26 17:42:27 [restartedMain] INFO  : HikariPool-2 - Start completed.
2024-11-26 17:42:27 [restartedMain] WARN  : HHH90000025: MySQL8Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2024-11-26 17:42:27 [restartedMain] WARN  : HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
2024-11-26 17:42:27 [restartedMain] INFO  : HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-11-26 17:42:27 [restartedMain] INFO  : Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-11-26 17:42:27 [restartedMain] INFO  : Global AuthenticationManager configured with UserDetailsService bean with name customUserDetailsService
2024-11-26 17:42:27 [restartedMain] WARN  : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-11-26 17:42:27 [restartedMain] INFO  : LiveReload server is running on port 35729
2024-11-26 17:42:27 [restartedMain] INFO  : Starting ProtocolHandler ["http-nio-8081"]
2024-11-26 17:42:27 [restartedMain] INFO  : Tomcat started on port 8081 (http) with context path '/'
2024-11-26 17:42:27 [restartedMain] INFO  : Started SimplyflyApplication in 0.528 seconds (process running for 146.129)
2024-11-26 17:42:27 [restartedMain] INFO  : Condition evaluation unchanged
